title,authors,groups,keywords,topics,abstract
Unsupervised Alignment of Natural Language Instructions with Video Segments,"Iftekhar Naim, Young Song, Qiguang Liu, Henry Kautz, Jiebo Luo and Daniel Gildea","Machine Learning Applications (MLA)
NLP and Machine Learning (NLPML)","Unsupervised Video Alignment
Grounded Language Acquisition
HMM
IBM Model 1
Language and Vision","MLA: Applications of Unsupervised Learning
NLPML: Natural Language Processing (General/Other)
VIS: Language and Vision","We propose an unsupervised learning algorithm for automatically inferring the mappings between English nouns and corresponding video objects. Given a sequence of natural language instructions and an unaligned video recording, we simultaneously align each instruction to its corresponding video segment, and also align nouns in each instruction to their corresponding objects in video. While existing grounded language acquisition algorithms rely on pre-aligned supervised data (each sentence paired with corresponding image frame or video segment), our algorithm aims to automatically infer the alignment from the temporal structure of the video and parallel text instructions. We propose two generative models that are closely related to the HMM and IBM 1 word alignment models used in statistical machine translation. We evaluate our algorithm on videos of biological experiments performed in wetlabs, and demonstrate its capability of aligning video segments to text instructions and matching video objects to nouns in the absence of any direct supervision."
Detecting information-dense texts in multiple news domains,Yinfei Yang and Ani Nenkova,"AI and the Web (AIW)
NLP and Knowledge Representation (NLPKR)
NLP and Machine Learning (NLPML)
NLP and Text Mining (NLPTM)","writing style
information-dense text
summarization","AIW: Human language technologies for web systems, including text summarization and machine translation
NLPKR: Semantics and Summarization
NLPML: Text Classification
NLPTM: Natural Language Processing (General/Other)","In this paper we introduce the task of identifying information-dense texts, which report important factual information in direct, succinct manner.  We describe a procedure that allows us to label automatically a large training corpus of New York Times texts. We train a classifier based on lexical, discourse and unlexicalized syntactic features and test its performance on a set of manually annotated articles from international relations, U.S. politics, sports and science domains. Our results indicate that the task is feasible and that  both syntactic and lexical features are highly predictive for the distinction. We observe considerable variation of prediction accuracy across domains and find that domain-specific models are more accurate."
Smarter Than You Think: Acquiring Comparative Commonsense from the Web,"Niket Tandon, Gerard de Melo and Gerhard Weikum","AI and the Web (AIW)
NLP and Text Mining (NLPTM)","commonsense knowledge
information extraction
word sense disambiguation","AIW: Knowledge acquisition from the web
NLPTM: Information Extraction","This paper presents a method for automatically constructing a large comparative commonsense knowledge base from Big Data. The resulting knowledge base is semantically refined and organized. Our method is based on linear optimization methods to clean and consolidate the noisy input knowledge, while also inferring new information. Our method achieves a high precision while maintaining good coverage."
A reasoner for the RCC-5 and RCC-8 calculi extended with constants,"Stella Giannakopoulou, Charalampos Nikolaou and Manolis Koubarakis","Knowledge Representation and Reasoning (KRR)
Reasoning under Uncertainty (RU)
Search and Constraint Satisfaction (SCS)","Qualitative spatial reasoning
Constraint Satisfaction Problems
Landmarks","KRR: Computational Complexity of Reasoning
KRR: Geometric, Spatial, and Temporal Reasoning
KRR: Qualitative Reasoning
RU: Uncertainty in AI (General/Other)
SCS: Constraint Satisfaction","The problem of checking the consistency in qualitative calculi that contain both unknown and known entities (constants, i.e., real geometries) has recently appeared and has applications in many areas. Until now, all the approaches are theoretical and no implementation has been proposed. In this paper we present the first reasoner that takes as input RCC-5 or RCC-8 networks that involve entities with specific geometries and decides their consistency. We investigate the performance of the 
reasoner and contrary to lots of other works in this area we consider real datasets in our experimental analysis."
Schedule-based Robotic Search for Multiple Residents in a Retirement Home Environment,"Markus Schwenk, Tiago Vaquero and Goldie Nejat","Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)
Robotics (ROB)","Uncertainty in AI
Probabilistic Planning
Temporal Planning
Robotics","PS: Probabilistic Planning
PS: Temporal Planning
RU: Uncertainty in AI (General/Other)
ROB: Robotics (General/Other)","In this paper we address the planning problem of a robot searching for multiple residents in a retirement home in order to remind them of an upcoming multi-person recreational activity before a given deadline. We introduce a novel Multi-User Schedule Based (M-USB) Search approach which generates a high-level-plan to maximize the number of residents that are found within the given time frame. From the schedules of the residents, the layout of the retirement home environment as well as direct observations by the robot, we obtain spatio-temporal likelihood functions for the individual residents. The main contribution of our work is the development of a novel approach to compute a reward to find a search plan for the robot using: 1) the likelihood functions, 2) the availabilities of the residents, and 3) the order in which the residents should be found. Simulations were conducted on a floor of a real retirement home to compare our proposed M-USB Search approach to a Weighted Informed Walk and a Random Walk. Our results show that the proposed M-USB Search finds residents in a shorter amount of time by visiting fewer rooms when compared to the other approaches."
Diagram Understanding in Geometry Problems,"Min Joon Seo, Hannaneh Hajishirzi, Ali Farhadi and Oren Etzioni",Applications (APP),"Diagram Understanding
Submodular Optimization
Language and Vision","APP: Other Applications
VIS: Language and Vision","Automatically solving geometry questions is a long-standing AI
problem. A geometry question typically includes a textual description
accompanied by a diagram.  The first step in solving geometry
questions is diagram understanding, which consists of identifying visual
elements in the diagram, their location, their geometric properties,
and aligning them to corresponding textual descriptions. In this
paper, we present a method for diagram understanding that identifies
visual elements in a diagram while maximizing agreement between
textual and visual data. We show that the method's objective function
is submodular; thus we are able to introduce an efficient method for
diagram understanding that is close to optimal.  To empirically
evaluate our method, we compile a new dataset of geometry questions
(textual descriptions and diagrams) and compare with baselines that
utilize standard vision techniques.  Our experimental evaluation shows
an F1 boost of more than 17\% in identifying visual elements and 25\% in
aligning visual elements with their textual descriptions."
Latent Domains Modeling for Domain Adaptation,"Caiming Xiong, Scott McCloskey and Jason Corso","Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)
Vision (VIS)","latent model
local linear subspace
domain adaptation","MLA: Applications of Unsupervised Learning
MLA: Machine Learning Applications (General/other)
NMLA: Clustering
NMLA: Feature Construction/Reformulation
NMLA: Transfer, Adaptation, Multitask Learning
NMLA: Semisupervised Learning
VIS: Categorization
VIS: Object Recognition
VIS: Statistical Methods and Learning","To improve robustness to significant mismatches between
source domain and target domain - arising from changes such
as illumination, pose and image quality - domain adaptation
is increasingly popular in computer vision. But most of methods
assume that the source data is from single domain, or that
multi-domain datasets provide the domain label for training
instances. In practice, most datasets are mixtures of multiple
latent domains, and difficult to manually provide the domain
label of each data point. In this paper, we propose a model
that automatically discovers latent domains in visual datasets.
We first assume the visual images are sampled from multiple
manifolds, each of which represents different domain,
and which are represented by different subspaces. Using the
neighborhood structure estimated from images belonging to
the same category, we approximate the local linear invariant
subspace for each image based on its local structure, eliminating
the category-specific elements of the feature. Based
on the effectiveness of this representation, we then propose a
squared-loss mutual information based clustering model with
category distribution prior in each domain to infer the domain
assignment for images. In experiment, we test our approach
on two common image datasets, the results show that
our method outperforms the existing state-of-the-art methods,
and also show the superiority of multiple latent domain discovery"
Improving Domain-independent Cloud-based Speech Recognition with Domain-dependent Phonetic Post-processing,"Johannes Twiefel, Timo Baumann, Stefan Heinrich and Stefan Wermter","AI and the Web (AIW)
Applications (APP)
NLP and Knowledge Representation (NLPKR)
Robotics (ROB)","speech recognition
phonetics
domain-dependent knowledge","AIW: Human language technologies for web systems, including text summarization and machine translation
APP: Intelligent User Interfaces
NLPKR: Natural Language Processing (General/Other)
ROB: Human-Robot Interaction","Automated speech recognition (ASR) technology has been developed to such a level that off-the-shelf distributed speech recognition services are available (free of cost) that allow researchers to integrate speech into their applications with little development effort or expert knowledge leading to better results compared with previously used open-source tools. Often, however, such services do not accept language models or grammars but process free speech from any domain. While results are very good given the enormous size of the search space, results frequently contain out-of-domain words or constructs that cannot be understood by subsequent domain-dependent natural language understanding (NLU) components. In this paper we present a versatile post-processing technique based on phonetic distance that integrates domain knowledge with open-domain ASR results, leading to improved ASR performance. Notably, our technique is able to make use of domain restrictions using various degrees of domain knowledge, ranging from pure vocabulary restrictions via grammars or N-grams to restrictions of the acceptable utterances. We present results for a variety of corpora (mainly from human-robot interaction) where our combined approach significantly outperforms Google ASR as well as a plain open-source ASR solution."
A Strategy-Aware Technique for Learning Behaviors from Discrete Human Feedback,"Robert Loftin, James MacGlashan, Bei Peng, Michael Littman, Matthew E. Taylor, Jeff Huang and David Roberts","Humans and AI (HAI)
Novel Machine Learning Algorithms (NMLA)","Learning from Feedback
Human Computer Interaction
Reinforcement Learning
Canine Learning","APP: Philosophical and Ethical Issues
CM: Bayesian Learning
HCC: Active learning from imperfect human labelers
HAI: Human-Computer Interaction
NMLA: Bayesian Learning
NMLA: Reinforcement Learning
ROB: Human-Robot Interaction","This paper introduces two novel algorithms, SABL and I-SABL, for learning behaviors from human-provided rewards. The primary novelty of these algorithms is that instead of treating the feedback as a numeric reward signal, they interpret feedback as a form of discrete communication that depends on both the behavior the trainer is trying to teach and the teaching strategy used by the trainer.  For example, some humans use a strategy where the lack of feedback may indicate whether the action was correct or incorrect, and interpreting this lack of feedback accurately can significantly improve learning speed. Results from user studies show that 1) humans use a variety of training strategies in practice, and 2) both algorithms can successfully learn a contextual bandit task faster than approaches that treat the feedback as numeric. Additionally, simulated trainers are employed to evaluate the algorithms in both contextual bandit and sequential decision-making domains with similar results."
Learning Instance Concepts from Multiple-Instance Data with Bags as Distributions,Gary Doran and Soumya Ray,,"multiple-instance learning
supervised learning
classification","NMLA: Evaluation and Analysis (Machine Learning)
NMLA: Supervised Learning (Other)
NMLA: Machine Learning (General/other)","We analyze and evaluate a generative process for multiple-instance learning (MIL) in which bags are distributions over instances. We show that our generative process contains as special cases generative models explored in prior work, while excluding scenarios known to be hard for MIL. Further, under the mild assumption that every negative instance is observed with nonzero probability in some negative bag, we show that it is possible to learn concepts that accurately label instances from MI data in this setting. Finally, we show that standard supervised approaches can learn concepts with low area-under-ROC error from MI data in this setting. We validate this surprising result with experiments using several real-world MI datasets that have been annotated with instance labels."
Tractability through Exchangeability: A New Perspective on Efficient Probabilistic Inference,Mathias Niepert and Guy Van den Broeck,Reasoning under Uncertainty (RU),"efficient inference
lifted inference
probabilistic inference
exchangeability
statistical relational learning","RU: Probabilistic Inference
RU: Relational Probabilistic Models","Exchangeability is a central notion in statistics and probability theory. The assumption that an infinite sequence of data points is exchangeable is at the core of Bayesian statistics. However, finite exchangeability as a statistical property that renders probabilistic inference tractable is less well-understood. We develop a theory of finite exchangeability and its relation to tractable probabilistic inference. The theory is complementary to that of independence and conditional independence. We show that tractable inference in probabilistic models with high treewidth and millions of variables can be explained with the notion of finite (partial) exchangeability. We also show that existing lifted inference algorithms implicitly utilize a combination of conditional independence and partial exchangeability."
Collaborative Models for Referring Expression Generation in Situated Dialogue,"Rui Fang, Malcolm Doering and Joyce Chai",NLP and Machine Learning (NLPML),"referring expression generation
collaborative models
situated dialogue","NLPML: Discourse and Dialogue
NLPML: Natural Language Processing (General/Other)","In situated dialogue with artificial agents (e.g., robots), although a human and an agent are co-present, the agent's representation and the human's representation of the shared environment are significantly mismatched. Because of this misalignment, previous work has shown that when the agent applies traditional approaches to generate referring expressions to describe target objects, the intended objects often cannot be correctly identified by the human. To address this problem, motivated by collaborative behaviors in human referential communication, we have developed two collaborative models - an episodic model and an installment model - for referring expression generation. In both models, instead of generating a single referring expression to describe a target object as in the previous work, it generates multiple small expressions that lead to the target object with a goal to minimize the collaborative effort. In particular, our installment model incorporates human feedback in a reinforcement learning framework to learn the optimal generation strategies. Our empirical results have shown that the episodic model and the installment model outperform previous non-collaborative models with an absolute gain of 6% and 21% respectively."
Efficient Optimization for Autonomous Manipulation of Natural Objects,"Abdeslam Boularias, J. Andrew Bagnell and Anthony Stentz","Machine Learning Applications (MLA)
Robotics (ROB)","Robotic grasping
Planning
Bayesian optimization
Gaussian Processes
Anytime optimization","MLA: Machine Learning Applications (General/other)
ROB: Behavior and Control
ROB: Robotics (General/Other)","Manipulating irregular natural objects, such as rocks, is an essential capability of robots operating in outdoor environments. Previous studies have shown that stable grasps for known, man-made, objects can usually be planned by using physics-based simulators. However, planning is an expensive process that requires simulation of hand and object trajectories in different configurations, and evaluating the outcome of each trajectory. This problem is particularly concerning when the objects are irregular and cluttered, because the space of stable grasps is significantly smaller, and more configurations need to be evaluated before finding a good one. We present a learning approach, based on template matching, for fast detection of a small initial set of potentially stable grasps in a cluttered scene, using depth features. The predicted best grasps are further optimized by fine-tunning the configuration of the hand in simulation. To reduce the computational cost of this last operation, we model the predicted outcomes of the grasps as a Gaussian Process, and use an entropy-search method in order to focus the optimization on regions where the best grasp configuration is most likely to be. This approach is tested on the challenging task of clearing piles of real, unknown, rock debris using an autonomous robot. Empirical results show a clear advantage of this approach."
Effective Management of Electric Vehicle Storage using Smart Charging,"Konstantina Valogianni, Wolfgang Ketter, John Collins and Dmitry Zhdanov",Computational Sustainability and AI (CSAI),"Electric Vehicles
Smart Grid
Optimization
Reinforcement Learning",CSAI: Control and optimization of dynamic and spatiotemporal systems,"The growing Electric Vehicles' (EVs) popularity among commuters creates new challenges for the smart grid. The most important of them is the uncoordinated EV charging that substantially increases the energy demand peaks, putting the smart grid under constant strain. In order to cope with these peaks the grid needs extra infrastructure, a costly solution. We propose an Adaptive Management of EV Storage (AMEVS) algorithm, implemented through a learning agent that acts on behalf of individual EV owners and schedules EV charging over a weekly horizon. It accounts for individual preferences so that mobility service is not violated but also individual benefit is maximized. We observe that it reshapes the energy demand making it less volatile so that fewer resources are needed to cover peaks. It assumes Vehicle-to-Grid discharging when the customer has excess capacity. Our agent uses Reinforcement Learning trained on real world data to learn individual household consumption behavior and to schedule EV charging. Unlike previous work, AMEVS is a fully distributed approach. We show that AMEVS achieves significant reshaping of the energy demand curve and peak reduction, which is correlated with customer preferences regarding perceived utility of energy availability. Additionally, we show that the average and peak energy prices are reduced as a result of smarter energy use."
Social Planning: Achieving Goals by Altering Others' Mental States,"Chris Pearce, Ben Meadows, Pat Langley and Mike Barley","Cognitive Systems (CS)
Planning and Scheduling (PS)","Cognitive Systems
Social Planning
Deception","CS: Conceptual inference and reasoning
CS: Social cognition and interaction
CS: Problem solving and decision making
KRR: Reasoning with Beliefs
PS: Planning (General/Other)","In this paper, we discuss a computational approach to the cognitive 
task of social planning. First, we specify a class of planning 
problems that involve an agent who attempts to achieve its goals 
by altering other agents' mental states. Next, we describe SFPS, 
a flexible problem solver that generates social plans of this sort, 
including ones that include deception and reasoning about other 
agents' beliefs. We report the results for experiments on social 
scenarios that involve different levels of sophistication and that 
demonstrate both SFPS' capabilities and the sources of its power. 
Finally, we discuss how our approach to social planning has been 
informed by earlier work in the area and propose directions for 
additional research on the topic."
Feature-Cost Sensitive Learning with Submodular Trees of Classifiers,"Matt Kusner, Wenlin Chen, Quan Zhou, Eddie Xu and Kilian Weinberger",Novel Machine Learning Algorithms (NMLA),"submodular optimization
feature-cost sensitive learning
tree-based learning","NMLA: Classification
NMLA: Supervised Learning (Other)","During the past decade, machine learning algorithms have become commonplace in large-scale real-world industrial applications. In these settings, the computation time to train and test machine learning algorithms is a key consideration. At training-time the algorithms must scale to very large data set sizes. At testing-time, the cost of feature extraction can dominate the CPU runtime. Recently, a promising method was proposed to account for the feature extraction cost at testing time, called Cost-sensitive Tree of Classifiers (CSTC). Although the CSTC problem is NP-hard, the authors suggest an approximation through a mixed-norm relaxation across many classifiers. This relaxation is slow to train and requires involved optimization hyperparameter tuning. We propose a different relaxation using approximate submodularity, called Approximately Submodular Tree of Classifiers (ASTC). ASTC is much simpler to implement, yields equivalent results but requires no optimization hyperparameter tuning and is up to two orders of magnitude faster to train."
Multiagent Metareasoning Through Organizational Design,Jason Sleight and Ed Durfee,"Multiagent Systems (MAS)
Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","organizational design
Dec-MDP
multiagent metareasoning","MAS: Coordination and Collaboration
MAS: Multiagent Planning
MAS: Multiagent Systems (General/other)
PS: Markov Models of Environments
PS: Model-Based Reasoning
PS: Probabilistic Planning
RU: Decision/Utility Theory
RU: Sequential Decision Making","We formulate an approach to multiagent metareasoning that uses organizational design to focus each agent's reasoning on the aspects of their respective local problems to which they can make the most worthwhile contributions to joint behavior.  By employing the decentralized Markov decision process framework, we characterize an organizational design problem that explicitly considers the quantitative impact that a design has on both the quality of the agents' behaviors and their reasoning costs.  We describe an automated organizational design process that can approximately solve our organizational design problem via incremental search, and present techniques that efficiently estimate the incremental impact of a candidate organizational influence.  Our empirical evaluation confirms that our process generates organizational designs that impart a desired metareasoning regime upon the agents."
Experiments on Visual Information Extraction with the Faces of Wikipedia,Md. Kamrul Hasan and Christopher Pal,"AI and the Web (AIW)
Vision (VIS)","Web mining
Information extraction
Text processing
Face verification
Identity resolution
Face recognition","AIW: Knowledge acquisition from the web
VIS: Face and Gesture Recognition
VIS: Image and Video Retrieval
VIS: Language and Vision","We present a series of visual information extraction experiments
using the Faces ofWikipedia database - a new resource
that we release into the public domain for both recognition
and extraction research containing over 50,000 identities and
60,000 disambiguated images of faces. We compare different
techniques for automatically extracting the faces corresponding
to the subject of a Wikipedia biography within the
images appearing on the page. Our top performing approach
is based on probabilistic graphical models and uses the text
of Wikipedia pages, similarities of faces as well as various
other features of the document, meta-data and image files.
Our method resolves the problem jointly for all detected faces
on a page. While our experiments focus on extracting faces
from Wikipedia biographies, our approach is easily adapted
to other types of documents and multiple documents. We focus
onWikipedia because the content is a Creative Commons
resource and we provide our database to the community including
registered faces, hand labeled and automated disambiguations,
processed captions, meta data and evaluation protocols.
Our best probabilistic extraction pipeline yields an expected
average accuracy of 77% compared to image only and
text only baselines which yield 66% and 63% respectively."
Signals in the Silence: Models of Implicit Feedback in a Recommender System for Crowdsourcing,"Christopher Lin, Ece Kamar and Eric Horvitz","AI and the Web (AIW)
Applications (APP)
Human-Computation and Crowd Sourcing (HCC)
Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","Crowdsourcing
Recommendation Systems
Implicit Feedback
Matrix Factorization","AIW: Crowdsourcing techniques and methodologies
AIW: Web-based recommendation systems
APP: Other Applications
HCC: Programming languages, tools and platforms to support human computation
MLA: Machine Learning Applications (General/other)
NMLA: Recommender Systems","We study the opportunity to exploit the absence of signals as informative observations in the context of providing task recommendations in crowdsourcing. Workers on crowdsourcing platform do not provide explicit ratings about tasks. We present methods that enable a system to leverage implicit signals about task preferences. These signals include types of tasks that have been available and have been displayed, and the number of tasks workers select and complete. In distinction to previous work, we present a general model that can represent both positive and negative implicit signals.  We introduce algorithms that can learn these models without exceeding the computational complexity of existing approaches. Finally, using data from a large-scale, high throughput crowdsourcing platform, we show that reasoning about both positive and negative implicit feedback can improve the quality of task recommendations provided to workers."
A Convex Formulation for Semi-supervised Multi-Label Feature Selection,"Xiaojun Chang, Feiping Nie, Yi Yang and Heng Huang",Machine Learning Applications (MLA),"Semi-supervised Learning
Multi-Label Feature Selection
Convex Algorithm","NMLA: Classification
NMLA: Dimension Reduction/Feature Selection","Explosive growth of multimedia data has brought challenge of how to efficiently browse, retrieve and organize these data. Under this circumstance, different approaches have been proposed to facilitate multimedia analysis. Several semi-supervised feature selection algorithms have been proposed to exploit both labeled and unlabeled data. However, they are implemented based on graphs, such that they cannot handle large-scale datasets. How to conduct semi-supervised feature selection on large-scale datasets has become a challenging research problem. Moreover, existing multi-label feature selection algorithms rely on eigen-decomposition with heavy computational burden, which further prevent current feature selection algorithms from being applied for big data. In this paper, we propose a novel semi-supervised multi-label feature selection for large-scale
multimedia analysis. We evaluate performance of the proposed algorithm over five benchmark datasets and compare the results with state-of-the-art supervised and
semi-supervised feature selection algorithms as well as baseline using all features. The experimental results demonstrate that our proposed algorithm consistently achieve superiors performances."
A Spatially Sensitive Kernel to Predict Cognitive Performance from Short-Term Changes in Neural Structure,"Hidayath Ansari, Michael Coen, Barbara Bendlin, Mark Sager and Sterling Johnson",Machine Learning Applications (MLA),"Machine Learning
Neuroimaging
Kernel Methods
Wide Data
Alzheimer's Disease","APP: Biomedical / Bioinformatics
MLA: Bio/Medicine
MLA: Applications of Supervised Learning","This paper introduces a novel framework for performing machine learning on longitudinal neuroimaging datasets. These datasets are characterized by their size, particularly their width (millions of features per input). 

Specifically, we address the problem of detecting subtle, short-term changes in neural structure that are indicative of cognitive decline and correlate with risk factors for Alzheimer's disease. We introduce a new spatially-sensitive kernel that allows us to reason about individuals, as opposed to populations. 

In doing so, this paper presents the first evidence demonstrating that very small changes in white matter structure over a two year period can predict change in cognitive function in healthy adults."
GP-Localize: Persistent Mobile Robot Localization using Online Sparse Gaussian Process Observation Model,"Nuo Xu, Bryan Kian Hsiang Low, Jie Chen, Keng Kiat Lim and Etkin Ozgul",Robotics (ROB),"Robot localization
Gaussian process
Online learning","MLA: Applications of Supervised Learning
NMLA: Online Learning
ROB: Localization, Mapping, and Navigation
ROB: State Estimation","Central to robot exploration and mapping is the task of persistent localization in environmental fields characterized by spatially correlated measurements.
This paper presents a novel Gaussian process localization (GP-Localize) algorithm that, in contrast to existing works, can exploit the spatially correlated field measurements taken during a robot's exploration (instead of relying on prior training data) for efficiently and scalably learning the GP observation model online.
As a result, GP-Localize is capable of achieving constant time and memory in the size of the data per filtering step, which demonstrates the practical feasibility of using GPs for persistent robot localization.
Empirical evaluation via simulated experiments with real-world datasets and a real robot experiment shows that GP-Localize outperforms existing GP localization algorithms."
On Detecting Nearly Structured Preference Profiles,Martin Lackner and Edith Elkind,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","single-peaked preferences
single-crossing preferences
approximation algorithms
forbidden configurations",GTEP: Social Choice / Voting,"Structured preference domains, such as, e.g., the domains of single-peaked and single-crossing preferences, are known to admit efficient algorithms for many problems in computational social choice. Some of these algorithms extend to preferences that are close to having the respective structural property, i.e., can be made to enjoy this property by making minor changes to voters’ preferences, such as deleting a small number of voters or candidates. However, it has recently been shown that finding the optimal number of voters or candidates to delete in order to achieve the desired structural property is NP-hard for many such domains. In this paper, we show that these problems admit efficient approximation algorithms. Our results apply to all domains that can be characterized in terms of forbidden configurations; this includes, in particular, single-peaked and single-crossing elections. For a large range of scenarios, our approximation results are optimal under a plausible complexity-theoretic assumption. We also provide parameterized complexity results for this class of problems."
Relational One-Class Classification: A Non-Parametric Approach,"Tushar Khot, Sriraam Natarajan and Jude Shavlik","Novel Machine Learning Algorithms (NMLA)
Reasoning under Uncertainty (RU)","One-class classification
Statistical Relational Learning
Ensemble learning","NMLA: Ensemble Methods
NMLA: Relational/Graph-Based Learning
RU: Relational Probabilistic Models",One-class classification approaches have been proposed in literature to learn classifiers from examples of only one class. But these approaches are not directly applicable to relational domains due to their reliance on feature vectors or  distance measure. We propose a non-parametric relational one-class classification approach based on first-order trees. We learn a tree-based distance measure that iteratively introduces new relational features to differentiate relational examples. We update the distance measure so as to maximize the one-class classification performance of our model. We also relate our model definition to existing work on combination functions and density estimation. We also experimentally show that our approach can discover relevant features for this task and outperform three  baseline approaches.
Using Narrative Function to Extract Qualitative Information from Natural Language Texts,"Clifton McFate, Kenneth Forbus and Thomas Hinrichs",Cognitive Systems (CS),"Cognitive Systems
Qualitative Representation
Natural Language Understanding",CS: Natural language understanding and dialogue,"Understanding natural language about the continuous world is an important problem for cognitive systems. The naturalness of qualitative reasoning suggests that qualitative representations might be an important component of the semantics of natural language.  Prior work showed that frame-based representations of qualitative process theory constructs could indeed be extracted from natural language texts. That technique relied on the parser recognizing specific syntactic constructions, which had limited coverage. This paper describes a new approach, using narrative function to represent the higher-order relationships between the constituents of a sentence and between sentences in a discourse.  We outline how narrative function combined with query-driven abduction enables the same kinds of information to be extracted from natural language texts.  Moreover, we also show how the same technique can be used to extract type-level qualitative representations from text, and used to improve performance in playing a strategy game."
A spatio-temporal pattern mining algorithm to identify objects in a continuous field: A global oceanography perspective,"James Faghmous, Hung Nguyen, Matthew Le and Vipin Kumar",Computational Sustainability and AI (CSAI),"spatio-temporal data mining
oceanography
pattern mining","CSAI: Modeling and prediction of dynamic and spatiotemporal phenomena and systems
CSAI: Control and optimization of dynamic and spatiotemporal systems
CSAI: Modeling and control of complex high-dimensional systems
CSAI: Sensor networks for monitoring environments
NMLA: Data Mining and Knowledge Discovery
NMLA: Time-Series/Data Streams
NMLA: Unsupervised Learning (Other)","Mesoscale ocean eddies are a critical component of the Earth System as they dominate the ocean's kinetic energy and impact the global distribution of oceanic heat, salinity, momentum, and nutrients. Thus, accurately representing these dynamic features is critical for our planet's sustainability. The majority of methods that identify eddies from satellite observations analyze the data in a frame-by-frame basis despite the fact that eddies are dynamic objects that propagate across space and time. We introduce the notion of spatio-temporal consistency to identify eddies in a continuous spatio-temporal field, to simultaneously ensure that the features detected are both spatially consistent and temporally persistent. Our spatio-temporal consistency approach allows us to remove most of the expert criteria used in traditional methods and enables us to better render eddy dynamics by identifying smaller and longer lived eddies than existing methods."
Efficient codes for inverse dynamics during walking,Leif Johnson and Dana Ballard,Cognitive Modeling (CM),"machine learning
inverse dynamics
movement",CM: Simulating Humans,"Efficient codes have been used effectively in both computer science and neuroscience to better understand the information processing in visual and auditory encoding and discrimination tasks. In this paper, we explore the use of efficient codes for representing information relevant to human movements during locomotion. Specifically, we apply motion capture data to a physical model of the human skeleton to compute joint angles (inverse kinematics) and joint torques (inverse dynamics); then, by treating the resulting data as a regression problem, we investigate the effect of sparsity in mapping from angles to torques. The results of our investigation suggest that sparse codes can indeed represent salient features of both the kinematic and dynamic views of locomotion movements in humans. However, sparsity appears to be only one parameter in building a model of inverse dynamics; we also show that the ""encoding"" process benefits significantly by integrating with the ""regression"" process for this task. Finally, we use our results to argue that representations of movement are critical to modeling and understanding these movements."
Anytime Active Learning,"Maria E. Ramirez-Loaiza, Aron Culotta and Mustafa Bilgic","Human-Computation and Crowd Sourcing (HCC)
Machine Learning Applications (MLA)","active learning
non-uniform labeling costs
document classification","HCC: Cost, reliability, and skill of labelers
NLPML: Text Classification
NMLA: Active Learning","A common bottleneck in deploying supervised learning systems is collecting human-annotated examples. In many domains, annotators form an opinion about the label of an example incrementally --- e.g., each additional word read from a document or each additional minute spent inspecting a video helps inform the annotation.  In this paper, we investigate whether we can train learning systems more efficiently by requesting an annotation before inspection is fully complete --- e.g., after reading only 25 words of a document. While doing so may reduce the overall annotation time, it also introduces the risk that the annotator might not be able to provide a label if interrupted too early. We propose an anytime active learning approach that optimizes the annotation time and response rate simultaneously.  We conduct user studies on subsets of two document classification datasets and develop simulated annotators that mimic the users. Our simulated experiments show that anytime active learning outperforms several baselines on these two datasets. For example, with an annotation budget of one hour, training a classifier by annotating the first 25 words of each document reduces classification error by 17% over annotating the first 100 words of each document."
Elimination Ordering in Lifted First-Order Probabilistic Inference,Seyed Mehran Kazemi and David Poole,Reasoning under Uncertainty (RU),"Lifted inference
Elimination orderings
Probabilistic inference
Statistical relational AI","RU: Probabilistic Inference
RU: Relational Probabilistic Models","Various representations and inference methods have been proposed for lifted probabilistic inference in relational models. Many of these methods choose an order to eliminate (or branch on) the parametrized random variables. Similar to such methods for non-relational probabilistic inference, the order of elimination has a significant role in the performance of the algorithm. Since finding the best order is NP-complete even for non-relational models, heuristics have been proposed to find good orderings in the non-relational models. We show that these heuristics are inefficient for relational models, because they fail to consider the population sizes associated with logical variables in the parametrized random variable. In this paper, we extend existing heuristics for non-relational models and propose new heuristics for relational models. We evaluate the existing and new heuristics on a range of generated relational graphs."
